siName,guName,dongName,code,admId,dongId1,dongId2,income1,income2,income3,income4,income5,income6
서울특별시,종로구,사직동,01-001-053,1101053,1001053,1001053,21,47,66,73,44,12
서울특별시,종로구,삼청동,01-001-054,1101054,1001054,1001054,25,59,68,71,51,5
서울특별시,종로구,부암동,01-001-055,1101055,1001055,1001055,45,33,49,134,69,10
서울특별시,종로구,평창동,01-001-056,1101056,1001056,1001056,12,54,154,177,123,13
서울특별시,종로구,무악동,01-001-057,1101057,1001057,1001057,6,54,70,113,88,4
서울특별시,종로구,교남동,01-001-058,1101058,1001058,1001058,11,61,89,99,23,2
서울특별시,종로구,가회동,01-001-060,1101060,1001060,1001060,47,68,77,53,14,4
서울특별시,종로구,종로1·2·3·4가동,01-001-061,1101061,1001061,1001061,75,67,91,54,31,0
서울특별시,종로구,종로5·6가동,01-001-063,1101063,1001063,1001063,47,67,51,26,5,0
서울특별시,종로구,이화동,01-001-064,1101064,1001064,1001064,26,72,66,26,18,2
서울특별시,종로구,혜화동,01-001-065,1101065,1001065,1001065,20,54,64,73,55,4
서울특별시,종로구,명륜3가동,01-001-066,1101066,1001066,1001066,43,71,93,38,2,0
서울특별시,종로구,창신1동,01-001-067,1101067,1001067,1001067,58,64,65,19,9,7
서울특별시,종로구,창신2동,01-001-068,1101068,1001068,1001068,95,118,118,33,12,0
서울특별시,종로구,창신3동,01-001-069,1101069,1001069,1001069,8,45,79,127,45,0
서울특별시,종로구,숭인1동,01-001-070,1101070,1001070,1001070,13,34,65,41,19,5
서울특별시,종로구,숭인2동,01-001-071,1101071,1001071,1001071,50,84,138,66,20,4
서울특별시,종로구,청운효자동,01-001-072,1101072,1001072,1001072,44,81,101,80,58,5
서울특별시,중구,소공동,01-002-052,1102052,1002052,1002052,1,5,29,28,12,13
서울특별시,중구,회현동,01-002-054,1102054,1002054,1002054,35,27,49,62,27,16
서울특별시,중구,명동,01-002-055,1102055,1002055,1002055,9,17,15,12,9,3
서울특별시,중구,필동,01-002-057,1102057,1002057,1002057,42,85,68,61,13,0
서울특별시,중구,장충동,01-002-058,1102058,1002058,1002058,39,47,73,30,18,0
서울특별시,중구,광희동,01-002-059,1102059,1002059,1002059,40,84,41,36,23,0
서울특별시,중구,을지로동,01-002-060,1102060,1002060,1002060,2,16,13,12,19,0
서울특별시,중구,신당1동,01-002-061,1102061,1002061,1002061,35,70,102,84,24,0
서울특별시,중구,신당2동,01-002-062,1102062,1002062,1002062,77,106,152,91,28,0
서울특별시,중구,신당3동,01-002-063,1102063,1002063,1002063,24,32,167,178,122,29
서울특별시,중구,신당4동,01-002-064,1102064,1002064,1002064,79,121,186,168,56,3
서울특별시,중구,신당5동,01-002-065,1102065,1002065,1002065,52,99,118,82,23,4
서울특별시,중구,신당6동,01-002-066,1102066,1002066,1002066,28,47,58,97,40,10
서울특별시,중구,황학동,01-002-067,1102067,1002067,1002067,70,159,169,63,34,2
서울특별시,중구,중림동,01-002-068,1102068,1002068,1002068,80,89,90,67,20,0
