"region","sido.code","OBJECTID","SIGUNGU_CD","SIGUNGU_NM","sido_name","collect_count","collect_15amount","disposal_count","disposal_15amount","capacity","index"
"서울특별시_종로구","11",1,"11010","종로구","서울특별시",0,0,0,0,0,0
"서울특별시_중구","11",2,"11020","중구","서울특별시",6,94139,0,0,0,94139
"서울특별시_용산구","11",3,"11030","용산구","서울특별시",2,190354.68,0,0,0,190354.68
"서울특별시_성동구","11",4,"11040","성동구","서울특별시",5,546146.58,1,1995,9.3,544151.58
"서울특별시_광진구","11",5,"11050","광진구","서울특별시",3,66952.73,0,0,0,66952.73
"서울특별시_동대문구","11",6,"11060","동대문구","서울특별시",4,150450.23,0,0,0,150450.23
"서울특별시_중랑구","11",7,"11070","중랑구","서울특별시",8,269122.25,0,0,0,269122.25
"서울특별시_성북구","11",8,"11080","성북구","서울특별시",6,147355.47,0,0,0,147355.47
"서울특별시_강북구","11",9,"11090","강북구","서울특별시",10,131236.4,0,0,0,131236.4
"서울특별시_도봉구","11",10,"11100","도봉구","서울특별시",9,193691.68,1,5420,20,188271.68
"서울특별시_노원구","11",11,"11110","노원구","서울특별시",9,150858.51,0,0,0,150858.51
"서울특별시_은평구","11",12,"11120","은평구","서울특별시",5,146332.49,1,2329,40,144003.49
"서울특별시_서대문구","11",13,"11130","서대문구","서울특별시",2,131689.5,0,0,0,131689.5
"서울특별시_마포구","11",14,"11140","마포구","서울특별시",3,64356.08,0,0,0,64356.08
"서울특별시_양천구","11",15,"11150","양천구","서울특별시",5,190481.37,1,11000,50,179481.37
"서울특별시_강서구","11",16,"11160","강서구","서울특별시",16,2032401.66,4,443707,8146,1588694.66
"서울특별시_구로구","11",17,"11170","구로구","서울특별시",13,344907.24,0,0,0,344907.24
"서울특별시_금천구","11",18,"11180","금천구","서울특별시",5,197270.99,0,0,0,197270.99
"서울특별시_영등포구","11",19,"11190","영등포구","서울특별시",1,300.63,0,0,0,300.63
"서울특별시_동작구","11",20,"11200","동작구","서울특별시",5,222502.32,0,0,0,222502.32
"서울특별시_관악구","11",21,"11210","관악구","서울특별시",2,7388.66,0,0,0,7388.66
"서울특별시_서초구","11",22,"11220","서초구","서울특별시",1,33587.56,0,0,0,33587.56
"서울특별시_강남구","11",23,"11230","강남구","서울특별시",12,25755.61,0,0,0,25755.61
"서울특별시_송파구","11",24,"11240","송파구","서울특별시",6,312493.06,1,16738,150,295755.06
"서울특별시_강동구","11",25,"11250","강동구","서울특별시",1,2073.42,1,0,6.72,2073.42
"부산광역시_중구","21",26,"21010","중구","부산광역시",7,27073,1,0,0.03,27073
"부산광역시_서구","21",27,"21020","서구","부산광역시",10,14230.89,1,4466,36,9764.89
"부산광역시_동구","21",28,"21030","동구","부산광역시",6,47350.6,0,0,0,47350.6
"부산광역시_영도구","21",29,"21040","영도구","부산광역시",12,155833.34,4,136418,8007.6,19415.34
"부산광역시_진구","21",30,"21050","진구","부산광역시",10,122169.15,0,0,0,122169.15
"부산광역시_동래구","21",31,"21060","동래구","부산광역시",13,165765.04,1,599,10,165166.04
"부산광역시_남구","21",32,"21070","남구","부산광역시",12,874963.65,3,1032,74,873931.65
"부산광역시_북구","21",33,"21080","북구","부산광역시",22,151852.64,0,0,0,151852.64
"부산광역시_해운대구","21",34,"21090","해운대구","부산광역시",20,95603.89,1,5100,100,90503.89
"부산광역시_사하구","21",35,"21100","사하구","부산광역시",47,775112.63,23,878841,9955.4,-103728.37
"부산광역시_금정구","21",36,"21110","금정구","부산광역시",35,2743342.27,9,5585.41,4200.1,2737756.86
"부산광역시_강서구","21",37,"21120","강서구","부산광역시",45,204547.03,26,483480,2940901.5,-278932.97
"부산광역시_연제구","21",38,"21130","연제구","부산광역시",4,208212.68,0,0,0,208212.68
"부산광역시_수영구","21",39,"21140","수영구","부산광역시",8,30886.88,0,0,0,30886.88
"부산광역시_사상구","21",40,"21150","사상구","부산광역시",56,1593753.93,21,424214.157,16363.5,1169539.773
"부산광역시_기장군","21",41,"21310","기장군","부산광역시",38,1155000.25,32,1227831.87,889008.5,-72831.6200000001
"대구광역시_중구","22",42,"22010","중구","대구광역시",5,26572,0,0,0,26572
"대구광역시_동구","22",43,"22020","동구","대구광역시",38,560639.91,7,3377,143.05,557262.91
"대구광역시_서구","22",44,"22030","서구","대구광역시",15,128711.59,20,31851.02294,1224.781,96860.56706
"대구광역시_남구","22",45,"22040","남구","대구광역시",6,163643.34,0,0,0,163643.34
"대구광역시_북구","22",46,"22050","북구","대구광역시",20,656553.07,10,11261.064,152,645292.006
"대구광역시_수성구","22",47,"22060","수성구","대구광역시",6,221125.09,0,0,0,221125.09
"대구광역시_달서구","22",48,"22070","달서구","대구광역시",28,822725.78,18,59291,291,763434.78
"대구광역시_달성군","22",49,"22310","달성군","대구광역시",53,688842.52,78,406574.3,13404,282268.22
"인천광역시_중구","23",50,"23010","중구","인천광역시",28,812769.55,9,450220,889,362549.55
"인천광역시_동구","23",51,"23020","동구","인천광역시",29,460217.61,7,351236,4674,108981.61
"인천광역시_남구","23",52,"23030","남구","인천광역시",28,396437.87,3,16187,51.1,380250.87
"인천광역시_연수구","23",53,"23040","연수구","인천광역시",22,633878.32,1,27745,29,606133.32
"인천광역시_남동구","23",54,"23050","남동구","인천광역시",79,1081253.18,86,348371.264,2707.119,732881.916
"인천광역시_부평구","23",55,"23060","부평구","인천광역시",24,478718.22,0,0,0,478718.22
"인천광역시_계양구","23",56,"23070","계양구","인천광역시",28,591287.99,2,15188,160.8,576099.99
"인천광역시_서구","23",57,"23080","서구","인천광역시",99,5104349.04,140,7705723,61737.81,-2601373.96
"인천광역시_강화군","23",58,"23310","강화군","인천광역시",14,168244.83,5,49572,353,118672.83
"인천광역시_옹진군","23",59,"23320","옹진군","인천광역시",2,874.1,0,0,0,874.1
"광주광역시_동구","24",60,"24010","동구","광주광역시",5,19838,0,0,0,19838
"광주광역시_서구","24",61,"24020","서구","광주광역시",13,58535.12,8,97640,389,-39104.88
"광주광역시_남구","24",62,"24030","남구","광주광역시",16,211606.88,2,22859,143,188747.88
"광주광역시_북구","24",63,"24040","북구","광주광역시",24,107905.86,12,25299.635,509,82606.225
"광주광역시_광산구","24",64,"24050","광산구","광주광역시",64,784083.85,63,816200,21049.6,-32116.15
"대전광역시_동구","25",65,"25010","동구","대전광역시",18,118588.61,3,223970.63,4087.6,-105382.02
"대전광역시_중구","25",66,"25020","중구","대전광역시",26,198446.39,4,404280,8234,-205833.61
"대전광역시_서구","25",67,"25030","서구","대전광역시",44,363813.39,2,49773,228,314040.39
"대전광역시_유성구","25",68,"25040","유성구","대전광역시",26,136741.42,0,0,0,136741.42
"대전광역시_대덕구","25",69,"25050","대덕구","대전광역시",36,250224.58,21,75192,8708.9,175032.58
"울산광역시_중구","26",70,"26010","중구","울산광역시",8,49987.31,0,0,0,49987.31
"울산광역시_남구","26",71,"26020","남구","울산광역시",43,986036.37,32,1038270.375,4405223.7,-52234.005
"울산광역시_동구","26",72,"26030","동구","울산광역시",8,59425,0,0,0,59425
"울산광역시_북구","26",73,"26040","북구","울산광역시",28,99321.59,3,4213,168.5,95108.59
"울산광역시_울주군","26",74,"26310","울주군","울산광역시",89,1542913.43,164,2104848.6,1119053.997,-561935.17
"세종특별자치시_세종시","29",75,"29010","세종시","세종특별자치시",55,857599.64,52,985256.1183,20250.4,-127656.4783
"경기도_수원시","31",76,"31011","수원시","경기도",19,1243516.11,6,1017957,12296,225559.11
"경기도_수원시","31",77,"31012","수원시","경기도",19,1243516.11,6,1017957,12296,225559.11
"경기도_수원시","31",78,"31013","수원시","경기도",19,1243516.11,6,1017957,12296,225559.11
"경기도_수원시","31",79,"31014","수원시","경기도",19,1243516.11,6,1017957,12296,225559.11
"경기도_성남시","31",80,"31021","성남시","경기도",74,600333.07,3,209901,830,390432.07
"경기도_성남시","31",81,"31022","성남시","경기도",74,600333.07,3,209901,830,390432.07
"경기도_성남시","31",82,"31023","성남시","경기도",74,600333.07,3,209901,830,390432.07
"경기도_의정부시","31",83,"31030","의정부시","경기도",20,221151.92,1,75171,4000,145980.92
"경기도_안양시","31",84,"31041","안양시","경기도",35,619013.27,6,321552,20096,297461.27
"경기도_안양시","31",85,"31042","안양시","경기도",35,619013.27,6,321552,20096,297461.27
"경기도_부천시","31",86,"31051","부천시","경기도",30,1725605.22,6,1310733,9661.5,414872.22
"경기도_부천시","31",87,"31052","부천시","경기도",30,1725605.22,6,1310733,9661.5,414872.22
"경기도_부천시","31",88,"31053","부천시","경기도",30,1725605.22,6,1310733,9661.5,414872.22
"경기도_광명시","31",89,"31060","광명시","경기도",23,340421.63,0,0,0,340421.63
"경기도_평택시","31",90,"31070","평택시","경기도",46,1732011.66,178,1902496.823,28138.573,-170485.163
"경기도_동두천시","31",91,"31080","동두천시","경기도",22,782487.43,17,930195,20897.72,-147707.57
"경기도_안산시","31",92,"31091","안산시","경기도",145,1780100.43,30,371635,5645.05,1408465.43
"경기도_안산시","31",93,"31092","안산시","경기도",145,1780100.43,30,371635,5645.05,1408465.43
"경기도_고양시","31",94,"31101","고양시","경기도",32,2531525.67,30,2435685.28,13541.51,95840.3900000001
"경기도_고양시","31",95,"31103","고양시","경기도",32,2531525.67,30,2435685.28,13541.51,95840.3900000001
"경기도_고양시","31",96,"31104","고양시","경기도",32,2531525.67,30,2435685.28,13541.51,95840.3900000001
"경기도_과천시","31",97,"31110","과천시","경기도",8,36826.05,0,0,0,36826.05
"경기도_구리시","31",98,"31120","구리시","경기도",11,81652.06,0,0,0,81652.06
"경기도_남양주시","31",99,"31130","남양주시","경기도",53,2544165.13,53,2281355.801,29524.74,262809.329
"경기도_오산시","31",100,"31140","오산시","경기도",26,394990.59,13,275623,4924,119367.59
"경기도_시흥시","31",101,"31150","시흥시","경기도",103,818071.06,39,1200281.221,9797.056,-382210.161
"경기도_군포시","31",102,"31160","군포시","경기도",34,219120.09,3,2,4041,219118.09
"경기도_의왕시","31",103,"31170","의왕시","경기도",20,438275.84,2,208,18.5,438067.84
"경기도_하남시","31",104,"31180","하남시","경기도",21,44365.25,1,20728,75,23637.25
"경기도_용인시","31",105,"31191","용인시","경기도",93,1912399.96,82,2735876,31297.76,-823476.04
"경기도_용인시","31",106,"31192","용인시","경기도",93,1912399.96,82,2735876,31297.76,-823476.04
"경기도_용인시","31",107,"31193","용인시","경기도",93,1912399.96,82,2735876,31297.76,-823476.04
"경기도_이천시","31",108,"31210","이천시","경기도",20,1945654.53,49,1876065.28,15303.12,69589.25
"경기도_안성시","31",109,"31220","안성시","경기도",40,542614.74,106,1390107.1538,19870.055,-847492.4138
"경기도_김포시","31",110,"31230","김포시","경기도",55,799866.99,179,1479821.3,9373.05,-679954.31
"경기도_화성시","31",111,"31240","화성시","경기도",137,2334964.35,385,4090524.16,3171950.64,-1755559.81
"경기도_광주시","31",112,"31250","광주시","경기도",7,52513,11,68118.19,791.434,-15605.19
"경기도_양주시","31",113,"31260","양주시","경기도",46,1737457.73,111,2215026.001,52564.735,-477568.271
"경기도_포천시","31",114,"31270","포천시","경기도",30,952220.69,136,1047279.1,14371.24,-95058.4099999999
"경기도_여주시","31",115,"31280","여주시","경기도",25,26282.41,19,488105.607,16892.5,-461823.197
"경기도_가평군","31",116,"31370","가평군","경기도",6,25343.69,3,95981,8040,-70637.31
"경기도_양평군","31",117,"31380","양평군","경기도",12,216074.35,4,235207.046,8170,-19132.696
"강원도_춘천시","32",118,"32010","춘천시","강원도",28,514918.76,24,522292.67,30103,-7373.90999999997
"강원도_원주시","32",119,"32020","원주시","강원도",42,741335.94,43,910926.67918,29163.27,-169590.73918
"강원도_강릉시","32",120,"32030","강릉시","강원도",49,603130.75,20,794833,41349.9,-191702.25
"강원도_동해시","32",121,"32040","동해시","강원도",34,562427.64,12,1722671,30936,-1160243.36
"강원도_태백시","32",122,"32050","태백시","강원도",6,76874.79,3,58579,8002,18295.79
"강원도_속초시","32",123,"32060","속초시","강원도",9,39764.82,2,4795,43,34969.82
"강원도_삼척시","32",124,"32070","삼척시","강원도",15,363879.81,7,251605,8916,112274.81
"강원도_홍천군","32",125,"32310","홍천군","강원도",8,268037,15,303520.61,20480.08,-35483.61
"강원도_횡성군","32",126,"32320","횡성군","강원도",5,78771.01,13,266611.01,9169,-187840
"강원도_영월군","32",127,"32330","영월군","강원도",9,75992.57,9,1181665,15160,-1105672.43
"강원도_평창군","32",128,"32340","평창군","강원도",10,58462.2,5,189071,16030,-130608.8
"강원도_정선군","32",129,"32350","정선군","강원도",8,250683.68,6,173289,10115.6,77394.68
"강원도_인제군","32",130,"32390","인제군","강원도",2,81801.75,4,87995.75,8068.4,-6194
"강원도_양양군","32",131,"32410","양양군","강원도",12,165513.12,12,171292,17394.34,-5778.88
"충청북도_충주시","33",132,"33020","충주시","충청북도",43,1086028.87,19,1140461.18,541042.272,-54432.3100000001
"충청북도_제천시","33",133,"33030","제천시","충청북도",44,564258.42,17,968406.74,190771,-404148.32
"충청북도_청주시","33",134,"33041","청주시","충청북도",174,2624485.72,141,3102433,1551725.8,-477947.28
"충청북도_청주시","33",135,"33042","청주시","충청북도",174,2624485.72,141,3102433,1551725.8,-477947.28
"충청북도_청주시","33",136,"33043","청주시","충청북도",174,2624485.72,141,3102433,1551725.8,-477947.28
"충청북도_청주시","33",137,"33044","청주시","충청북도",174,2624485.72,141,3102433,1551725.8,-477947.28
"충청북도_보은군","33",138,"33320","보은군","충청북도",4,4567,6,90338,4110,-85771
"충청북도_옥천군","33",139,"33330","옥천군","충청북도",11,107233.18,14,41274.3,4252.5,65958.88
"충청북도_영동군","33",140,"33340","영동군","충청북도",8,32196.98,11,135747,4767.64,-103550.02
"충청북도_진천군","33",141,"33350","진천군","충청북도",42,726138.59,91,865392.74,24109.46,-139254.15
"충청북도_괴산군","33",142,"33360","괴산군","충청북도",9,123253.32,33,192400.579,8889.5,-69147.259
"충청북도_음성군","33",143,"33370","음성군","충청북도",39,414914.52,66,603788,15396.53,-188873.48
"충청북도_단양군","33",144,"33380","단양군","충청북도",18,528086.52,15,3617054,35382.5,-3088967.48
"충청북도_증평군","33",145,"33390","증평군","충청북도",8,25480.4,4,3420,31,22060.4
"충청남도_천안시","34",146,"34011","천안시","충청남도",113,2031920.14,77,1973289.7,41846.74,58630.4400000002
"충청남도_천안시","34",147,"34012","천안시","충청남도",113,2031920.14,77,1973289.7,41846.74,58630.4400000002
"충청남도_공주시","34",148,"34020","공주시","충청남도",23,1132834.9,31,427793,9682.61,705041.9
"충청남도_보령시","34",149,"34030","보령시","충청남도",18,485178.83,14,1263540.85,1743836,-778362.02
"충청남도_아산시","34",150,"34040","아산시","충청남도",36,791928.01,88,884293,267794.1,-92364.99
"충청남도_서산시","34",151,"34050","서산시","충청남도",36,436802.1,22,925536.32,25847,-488734.22
"충청남도_논산시","34",152,"34060","논산시","충청남도",14,832040.16,50,862236.39,14683.8,-30196.2300000001
"충청남도_계룡시","34",153,"34070","계룡시","충청남도",3,7450,0,0,0,7450
"충청남도_당진시","34",154,"34080","당진시","충청남도",50,674226.1,32,1587228,22502.72,-913001.9
"충청남도_금산군","34",155,"34310","금산군","충청남도",10,469271.08,30,618735.9,16468.2,-149464.82
"충청남도_부여군","34",156,"34330","부여군","충청남도",13,80917.35,14,193849.1,6281,-112931.75
"충청남도_서천군","34",157,"34340","서천군","충청남도",33,201173.63,6,36084.3,45376.8,165089.33
"충청남도_청양군","34",158,"34350","청양군","충청남도",9,223946.1,10,194594,4816,29352.1
"충청남도_홍성군","34",159,"34360","홍성군","충청남도",10,919856.08,17,455596,8881.8,464260.08
"충청남도_예산군","34",160,"34370","예산군","충청남도",24,230159.3,36,256803,13528.1,-26643.7
"충청남도_태안군","34",161,"34380","태안군","충청남도",25,144924.95,5,3416,431,141508.95
